Using device: cuda:1
Start Training (Stable Version)...
Epoch [189/200] Loss: 0.3842 | Train Acc: 90.08% | Test Acc: 81.01% | LR: 0.000010
Epoch [190/200] Loss: 0.3863 | Train Acc: 89.96% | Test Acc: 81.04% | LR: 0.000009
Epoch [191/200] Loss: 0.3799 | Train Acc: 90.18% | Test Acc: 81.17% | LR: 0.000007
Epoch [192/200] Loss: 0.3813 | Train Acc: 90.08% | Test Acc: 81.07% | LR: 0.000006
Epoch [193/200] Loss: 0.3821 | Train Acc: 90.09% | Test Acc: 81.11% | LR: 0.000005
Epoch [194/200] Loss: 0.3755 | Train Acc: 90.22% | Test Acc: 81.05% | LR: 0.000004
Epoch [195/200] Loss: 0.3784 | Train Acc: 90.29% | Test Acc: 80.94% | LR: 0.000003
Epoch [196/200] Loss: 0.3777 | Train Acc: 90.14% | Test Acc: 81.01% | LR: 0.000003
Epoch [197/200] Loss: 0.3787 | Train Acc: 90.11% | Test Acc: 80.92% | LR: 0.000002
Epoch [198/200] Loss: 0.3734 | Train Acc: 90.33% | Test Acc: 81.10% | LR: 0.000002
Epoch [199/200] Loss: 0.3762 | Train Acc: 90.25% | Test Acc: 81.18% | LR: 0.000001
Epoch [200/200] Loss: 0.3766 | Train Acc: 90.19% | Test Acc: 81.08% | LR: 0.000001
